NAME_1;pm10;so2;population_density;unemployment;gdp_per_capita;hospitalbeds ;no_of_physcians; average_household_size  ;automobile_number;literacy ;dis.ofcirculatory.syst.;dis.ofresp.Syst.;elderly_dep.ratio;age20.39;age40.59;age60.79;age80.;endoc.Andmetabolic_ dis.;cumcase
Kayseri;10;67.66666667;84.16;12.7;8372.98;4783.00;1;3.29;178;97.86;2013;1132;13.98;0.318800079;0.174661;0.174129284;0.175194962;425;14509.81
Kýrýkkale;16;27;60.87;11.9;7492.89;1254.00;2;2.86;150;97.15;893;233;19.05;0.278615784;0.299345536;0.301532355;0.297094479;135;14892.33
Kýrklareli;13.33333333;42;58.36;9;10771.96;1010.00;1;2.72;175;98.47;1102;345;21.42;0.314094781;0.167508168;0.173296184;0.161501209;113;11658.76
Kýrþehir;5;23;38.25;11.9;6396.40;465.00;1;3;166;97.13;611;204;18.95;0.296256855;0.255685821;0.26033419;0.251145597;83;14852.21
Kilis;12;42;102.12;12.9;5406.25;365.00;1;3.46;78;97.26;307;118;12.78;0.293260018;0.249028799;0.251223822;0.246825226;63;20806.98
Kocaeli;19;50.25;562.97;12.2;17088.87;4821.00;2;3.29;130;98.33;2638;1243;11.4;0.262878645;0.278226824;0.28175665;0.274710629;460;20588.68
Konya;19.33333333;66.5;58.58;7.8;7340.62;8554.00;2;3.31;166;98.15;4128;1560;15;0.282348074;0.2792381;0.287401257;0.271018162;688;14599.96
Kütahya;16;66;48.31;8.30;7450.58;1889.00;2;2.83;191;98.27;1685;570;20.07;0.299896501;0.265276998;0.26586383;0.264688108;357;14722.7
Malatya;7;54;68.67;10.5;5354.81;2972.00;2;3.4;130;95.17;1604;546;16.46;0.281969905;0.274955261;0.273488656;0.276389855;218;11552.6
Manisa;49;85;111.23;8.30;9378.40;4791.00;1;2.99;159;98.13;3929;1369;17.87;0.329745768;0.155747334;0.157270504;0.154170167;432;10631.5
Mardin;9;64;97.97;33.4;5515.81;1447.00;1;4.64;28;93.02;922;291;9.2;0.255169225;0.255613347;0.257430489;0.253820405;127;5749.87
Mersin;5;72;122.13;13.30;8277.59;4971.00;2;3.2;163;98.18;3389;1103;14.91;0.298568983;0.241244983;0.24258357;0.239898855;497;11980.62
Muðla;15;78.75;79.46;9.6;9340.80;2203.00;2;2.74;223;98.72;1922;737;19.13;0.315559547;0.271639123;0.27370848;0.269465698;327;10625.51
Muþ;22;82;50.28;23.6;3895.09;781.00;2;4.57;23;94.11;447;109;9.15;0.276228204;0.258988627;0.260231095;0.257761947;71;6191.06
Nevþehir;12;48;57.26;11.9;5742.62;732.00;2;3.08;187;97.57;630;306;18.18;0.285183743;0.266029456;0.270487129;0.261643147;112;11820.67
Niðde;6;81;49.47;11.9;6014.40;928.00;2;3.11;139;97.14;720;378;15.94;0.334090502;0.26555084;0.269590077;0.260975983;81;11180.5
Ordu;17;52;127.83;8.8;4841.04;2264.00;1;2.81;109;94.83;2095;771;23.35;0.298446118;0.15215397;0.152480735;0.151822595;256;21403.18
Osmaniye;15;71;177.02;15.2;6255.83;1348.00;1;3.46;161;96.03;1046;319;14.07;0.29078227;0.275950405;0.277490572;0.274421759;126;13581.25
Rize;4;29;88.13;8.8;6521.79;1126.00;1;2.98;108;97.02;843;335;20.03;0.337422383;0.169423715;0.172310098;0.166419232;111;21160.7
Sakarya;17.5;67;219.28;12.2;8653.33;2265.00;2;3.28;151;97.82;2276;618;15.16;0.285113501;0.249744325;0.25461787;0.244898834;347;16003.89
Samsun;16;65;150.97;8.3;6109.80;5225.00;2;3.14;144;97.89;3579;1177;18.59;0.269625766;0.291651122;0.290882798;0.292403865;196;21057.28
Siirt;18;65;60.66;33.4;4421.45;783.00;1;4.73;21;93.68;355;124;8.59;0.304277401;0.24153924;0.242714379;0.240360737;36;5203.47
Sinop;20;59;37.71;6.5;5119.41;660.00;2;2.68;150;96.38;868;267;31.57;0.357058865;0.215517039;0.217040689;0.213928915;87;8771.74
Sivas;17.5;65.33333333;22.28;12.7;6316.43;2605.00;1;3.13;141;95.5;1565;598;20.48;0.301543823;0.251531846;0.254100702;0.248957745;177;16329.41
Þanlýurfa;17;72;114.2;20;3011.64;4074.00;2;5.12;44;93.42;2104;670;7.08;0.287913816;0.268973214;0.273083238;0.264882803;237;2561.16
Þýrnak;114;34;76.42;33.4;5013.95;765.00;1;5.46;10;94.5;381;154;5.75;0.329073523;0.174505324;0.177224531;0.171740719;33;11866.95
Tekirdað;23.33333333;60;176.37;9;14786.77;3023.00;1;3.1;138;98.78;2067;679;13.31;0.353012959;0.133857432;0.127920798;0.140255909;159;16568.01
Tokat;13.66666667;68.75;60.51;8.3;4525.59;2299.00;1;3.03;148;97.54;1739;631;22.46;0.278442921;0.279969858;0.279891957;0.280046388;222;18619.04
Trabzon;11;42.5;175.1;8.8;6013.56;3417.00;2;2.99;150;96.5;1892;733;19.93;0.295306114;0.242173345;0.249267816;0.234551176;186;20600.64
Tunceli;10;26;11.25;10.5;8128.98;150.00;1;2.6;47;94.3;213;76;22.96;0.320601106;0.198691665;0.200503116;0.19675603;23;13178.54
Uþak;13.75;61.75;69.87;8.30;8297.46;1235.00;2;2.88;190;98.28;1038;326;18.92;0.285995581;0.267810076;0.262865377;0.272771081;170;10747.24
Van;15;41;59.12;23.6;3094.19;3020.00;2;4.61;24;94.79;893;430;7;0.310052269;0.265344763;0.263515467;0.267170555;136;3247.88
Yalova;8.333333333;47.5;343.57;12.2;11509.55;766.00;2;2.96;133;98.36;540;220;18.54;0.309889869;0.208008174;0.209354633;0.206628438;62;19847.74
Yozgat;19;26;29.74;12.7;4868.74;1261.00;1;3;120;96.31;1238;477;21.48;0.279590678;0.249730566;0.249649449;0.249813069;104;12707.75
Zonguldak;17;28.5;178.48;9.2;7925.94;2291.00;2;2.85;168;95.41;1404;744;20.28;0.302861019;0.266399984;0.270073575;0.262721846;312;16880.74
